 frequency       db(v(Z))       
 1.00000000e+00 -2.36481595e-01 
 1.07177346e+00 -2.36500409e-01 
 1.14869835e+00 -2.36522020e-01 
 1.23114441e+00 -2.36546845e-01 
 1.31950791e+00 -2.36575361e-01 
 1.41421356e+00 -2.36608118e-01 
 1.51571657e+00 -2.36645744e-01 
 1.62450479e+00 -2.36688966e-01 
 1.74110113e+00 -2.36738613e-01 
 1.86606598e+00 -2.36795643e-01 
 2.00000000e+00 -2.36861152e-01 
 2.14354693e+00 -2.36936400e-01 
 2.29739671e+00 -2.37022837e-01 
 2.46228883e+00 -2.37122124e-01 
 2.63901582e+00 -2.37236172e-01 
 2.82842712e+00 -2.37367175e-01 
 3.03143313e+00 -2.37517654e-01 
 3.24900959e+00 -2.37690502e-01 
 3.48220225e+00 -2.37889043e-01 
 3.73213197e+00 -2.38117097e-01 
 4.00000000e+00 -2.38379046e-01 
 4.28709385e+00 -2.38679928e-01 
 4.59479342e+00 -2.39025524e-01 
 4.92457765e+00 -2.39422477e-01 
 5.27803164e+00 -2.39878410e-01 
 5.65685425e+00 -2.40402081e-01 
 6.06286627e+00 -2.41003543e-01 
 6.49801917e+00 -2.41694339e-01 
 6.96440451e+00 -2.42487719e-01 
 7.46426393e+00 -2.43398895e-01 
 8.00000000e+00 -2.44445326e-01 
 8.57418770e+00 -2.45647048e-01 
 9.18958684e+00 -2.47027053e-01 
 9.84915531e+00 -2.48611723e-01 
 1.05560633e+01 -2.50431316e-01 
 1.13137085e+01 -2.52520540e-01 
 1.21257325e+01 -2.54919188e-01 
 1.29960383e+01 -2.57672878e-01 
 1.39288090e+01 -2.60833883e-01 
 1.49285279e+01 -2.64462087e-01 
 1.60000000e+01 -2.68626063e-01 
 1.71483754e+01 -2.73404292e-01 
 1.83791737e+01 -2.78886557e-01 
 1.96983106e+01 -2.85175496e-01 
 2.11121266e+01 -2.92388370e-01 
 2.26274170e+01 -3.00659029e-01 
 2.42514651e+01 -3.10140124e-01 
 2.59920767e+01 -3.21005560e-01 
 2.78576180e+01 -3.33453213e-01 
 2.98570557e+01 -3.47707920e-01 
 3.20000000e+01 -3.64024745e-01 
 3.42967508e+01 -3.82692512e-01 
 3.67583474e+01 -4.04037583e-01 
 3.93966212e+01 -4.28427859e-01 
 4.22242531e+01 -4.56276920e-01 
 4.52548340e+01 -4.88048245e-01 
 4.85029301e+01 -5.24259361e-01 
 5.19841534e+01 -5.65485784e-01 
 5.57152361e+01 -6.12364523e-01 
 5.97141115e+01 -6.65596888e-01 
 6.40000000e+01 -7.25950281e-01 
 6.85935016e+01 -7.94258604e-01 
 7.35166947e+01 -8.71420849e-01 
 7.87932425e+01 -9.58397438e-01 
 8.44485063e+01 -1.05620384e+00 
 9.05096680e+01 -1.16590110e+00 
 9.70058603e+01 -1.28858283e+00 
 1.03968307e+02 -1.42535871e+00 
 1.11430472e+02 -1.57733426e+00 
 1.19428223e+02 -1.74558745e+00 
