 frequency       db(v(Z))       
 1.00000000e+00 -2.42789892e-01 
 1.07177346e+00 -2.42792993e-01 
 1.14869835e+00 -2.42796554e-01 
 1.23114441e+00 -2.42800645e-01 
 1.31950791e+00 -2.42805345e-01 
 1.41421356e+00 -2.42810743e-01 
 1.51571657e+00 -2.42816944e-01 
 1.62450479e+00 -2.42824067e-01 
 1.74110113e+00 -2.42832249e-01 
 1.86606598e+00 -2.42841647e-01 
 2.00000000e+00 -2.42852444e-01 
 2.14354693e+00 -2.42864845e-01 
 2.29739671e+00 -2.42879091e-01 
 2.46228883e+00 -2.42895455e-01 
 2.63901582e+00 -2.42914252e-01 
 2.82842712e+00 -2.42935844e-01 
 3.03143313e+00 -2.42960647e-01 
 3.24900959e+00 -2.42989137e-01 
 3.48220225e+00 -2.43021864e-01 
 3.73213197e+00 -2.43059457e-01 
 4.00000000e+00 -2.43102640e-01 
 4.28709385e+00 -2.43152243e-01 
 4.59479342e+00 -2.43209222e-01 
 4.92457765e+00 -2.43274672e-01 
 5.27803164e+00 -2.43349853e-01 
 5.65685425e+00 -2.43436212e-01 
 6.06286627e+00 -2.43535411e-01 
 6.49801917e+00 -2.43649357e-01 
 6.96440451e+00 -2.43780243e-01 
 7.46426393e+00 -2.43930587e-01 
 8.00000000e+00 -2.44103281e-01 
 8.57418770e+00 -2.44301645e-01 
 9.18958684e+00 -2.44529494e-01 
 9.84915531e+00 -2.44791210e-01 
 1.05560633e+01 -2.45091822e-01 
 1.13137085e+01 -2.45437110e-01 
 1.21257325e+01 -2.45833707e-01 
 1.29960383e+01 -2.46289234e-01 
 1.39288090e+01 -2.46812437e-01 
 1.49285279e+01 -2.47413362e-01 
 1.60000000e+01 -2.48103540e-01 
 1.71483754e+01 -2.48896212e-01 
 1.83791737e+01 -2.49806574e-01 
 1.96983106e+01 -2.50852071e-01 
 2.11121266e+01 -2.52052720e-01 
 2.26274170e+01 -2.53431494e-01 
 2.42514651e+01 -2.55014750e-01 
 2.59920767e+01 -2.56832722e-01 
 2.78576180e+01 -2.58920084e-01 
 2.98570557e+01 -2.61316596e-01 
 3.20000000e+01 -2.64067834e-01 
 3.42967508e+01 -2.67226027e-01 
 3.67583474e+01 -2.70851007e-01 
 3.93966212e+01 -2.75011284e-01 
 4.22242531e+01 -2.79785275e-01 
 4.52548340e+01 -2.85262681e-01 
 4.85029301e+01 -2.91546056e-01 
 5.19841534e+01 -2.98752556e-01 
 5.57152361e+01 -3.07015921e-01 
 5.97141115e+01 -3.16488672e-01 
 6.40000000e+01 -3.27344567e-01 
 6.85935016e+01 -3.39781318e-01 
 7.35166947e+01 -3.54023580e-01 
 7.87932425e+01 -3.70326210e-01 
 8.44485063e+01 -3.88977801e-01 
 9.05096680e+01 -4.10304461e-01 
 9.70058603e+01 -4.34673810e-01 
 1.03968307e+02 -4.62499120e-01 
 1.11430472e+02 -4.94243534e-01 
 1.19428223e+02 -5.30424217e-01 
 1.28000000e+02 -5.71616300e-01 
 1.37187003e+02 -6.18456384e-01 
 1.47033389e+02 -6.71645356e-01 
 1.57586485e+02 -7.31950192e-01 
 1.68897013e+02 -8.00204365e-01 
 1.81019336e+02 -8.77306456e-01 
 1.94011721e+02 -9.64216508e-01 
 2.07936613e+02 -1.06194967e+00 
 2.22860944e+02 -1.17156670e+00 
 2.38856446e+02 -1.29416109e+00 
 2.56000000e+02 -1.43084246e+00 
 2.74374006e+02 -1.58271642e+00 
 2.94066779e+02 -1.75086121e+00 
 3.15172970e+02 -1.93630158e+00 
