 frequency       db(v(Z))        ph(v(Z))       
 1.00000000e+00 -2.36569752e-01 -5.39845297e-03 
 1.07177346e+00 -2.36588566e-01 -5.78591028e-03 
 1.14869835e+00 -2.36610177e-01 -6.20117481e-03 
 1.23114441e+00 -2.36635001e-01 -6.64624194e-03 
 1.31950791e+00 -2.36663517e-01 -7.12325015e-03 
 1.41421356e+00 -2.36696273e-01 -7.63449128e-03 
 1.51571657e+00 -2.36733900e-01 -8.18242153e-03 
 1.62450479e+00 -2.36777121e-01 -8.76967317e-03 
 1.74110113e+00 -2.36826768e-01 -9.39906717e-03 
 1.86606598e+00 -2.36883797e-01 -1.00736267e-02 
 2.00000000e+00 -2.36949305e-01 -1.07965915e-02 
 2.14354693e+00 -2.37024553e-01 -1.15714334e-02 
 2.29739671e+00 -2.37110989e-01 -1.24018730e-02 
 2.46228883e+00 -2.37210275e-01 -1.32918971e-02 
 2.63901582e+00 -2.37324323e-01 -1.42457779e-02 
 2.82842712e+00 -2.37455325e-01 -1.52680932e-02 
 3.03143313e+00 -2.37605802e-01 -1.63637481e-02 
 3.24900959e+00 -2.37778649e-01 -1.75379983e-02 
 3.48220225e+00 -2.37977189e-01 -1.87964748e-02 
 3.73213197e+00 -2.38205240e-01 -2.01452103e-02 
 4.00000000e+00 -2.38467187e-01 -2.15906678e-02 
 4.28709385e+00 -2.38768066e-01 -2.31397704e-02 
 4.59479342e+00 -2.39113660e-01 -2.47999341e-02 
 4.92457765e+00 -2.39510609e-01 -2.65791015e-02 
 5.27803164e+00 -2.39966539e-01 -2.84857789e-02 
 5.65685425e+00 -2.40490205e-01 -3.05290749e-02 
 6.06286627e+00 -2.41091662e-01 -3.27187419e-02 
 6.49801917e+00 -2.41782453e-01 -3.50652201e-02 
 6.96440451e+00 -2.42575826e-01 -3.75796839e-02 
 7.46426393e+00 -2.43486995e-01 -4.02740912e-02 
 8.00000000e+00 -2.44533416e-01 -4.31612353e-02 
 8.57418770e+00 -2.45735128e-01 -4.62547997e-02 
 9.18958684e+00 -2.47115122e-01 -4.95694155e-02 
 9.84915531e+00 -2.48699779e-01 -5.31207216e-02 
 1.05560633e+01 -2.50519357e-01 -5.69254272e-02 
 1.13137085e+01 -2.52608564e-01 -6.10013769e-02 
 1.21257325e+01 -2.55007192e-01 -6.53676172e-02 
 1.29960383e+01 -2.57760859e-01 -7.00444653e-02 
 1.39288090e+01 -2.60921838e-01 -7.50535781e-02 
 1.49285279e+01 -2.64550012e-01 -8.04180217e-02 
 1.60000000e+01 -2.68713953e-01 -8.61623394e-02 
 1.71483754e+01 -2.73492143e-01 -9.23126177e-02 
 1.83791737e+01 -2.78974362e-01 -9.88965481e-02 
 1.96983106e+01 -2.85263250e-01 -1.05943483e-01 
 2.11121266e+01 -2.92476064e-01 -1.13484480e-01 
 2.26274170e+01 -3.00746656e-01 -1.21552340e-01 
 2.42514651e+01 -3.10227673e-01 -1.30181621e-01 
 2.59920767e+01 -3.21093021e-01 -1.39408636e-01 
 2.78576180e+01 -3.33540572e-01 -1.49271423e-01 
 2.98570557e+01 -3.47795163e-01 -1.59809680e-01 
 3.20000000e+01 -3.64111857e-01 -1.71064657e-01 
 3.42967508e+01 -3.82779472e-01 -1.83078999e-01 
 3.67583474e+01 -4.04124372e-01 -1.95896523e-01 
 3.93966212e+01 -4.28514453e-01 -2.09561926e-01 
 4.22242531e+01 -4.56363294e-01 -2.24120398e-01 
 4.52548340e+01 -4.88134368e-01 -2.39617138e-01 
 4.85029301e+01 -5.24345201e-01 -2.56096756e-01 
 5.19841534e+01 -5.65571305e-01 -2.73602539e-01 
 5.57152361e+01 -6.12449684e-01 -2.92175575e-01 
 5.97141115e+01 -6.65681645e-01 -3.11853730e-01 
 6.40000000e+01 -7.26034586e-01 -3.32670461e-01 
 6.85935016e+01 -7.94342405e-01 -3.54653480e-01 
 7.35166947e+01 -8.71504091e-01 -3.77823273e-01 
 7.87932425e+01 -9.58480061e-01 -4.02191504e-01 
