 frequency       db(v(Z))        ph(v(Z))       
 1.00000000e+00 -2.11526133e-03 -5.09237252e-05 
 1.07177346e+00 -2.11526294e-03 -5.45786973e-05 
 1.14869835e+00 -2.11526478e-03 -5.84959994e-05 
 1.23114441e+00 -2.11526691e-03 -6.26944598e-05 
 1.31950791e+00 -2.11526934e-03 -6.71942583e-05 
 1.41421356e+00 -2.11527214e-03 -7.20170228e-05 
 1.51571657e+00 -2.11527536e-03 -7.71859339e-05 
 1.62450479e+00 -2.11527906e-03 -8.27258356e-05 
 1.74110113e+00 -2.11528330e-03 -8.86633552e-05 
 1.86606598e+00 -2.11528818e-03 -9.50270312e-05 
 2.00000000e+00 -2.11529378e-03 -1.01847450e-04 
 2.14354693e+00 -2.11530021e-03 -1.09157394e-04 
 2.29739671e+00 -2.11530760e-03 -1.16991998e-04 
 2.46228883e+00 -2.11531609e-03 -1.25388919e-04 
 2.63901582e+00 -2.11532584e-03 -1.34388516e-04 
 2.82842712e+00 -2.11533704e-03 -1.44034045e-04 
 3.03143313e+00 -2.11534991e-03 -1.54371867e-04 
 3.24900959e+00 -2.11536469e-03 -1.65451670e-04 
 3.48220225e+00 -2.11538167e-03 -1.77326709e-04 
 3.73213197e+00 -2.11540117e-03 -1.90054061e-04 
 4.00000000e+00 -2.11542357e-03 -2.03694898e-04 
 4.28709385e+00 -2.11544931e-03 -2.18314786e-04 
 4.59479342e+00 -2.11547887e-03 -2.33983994e-04 
 4.92457765e+00 -2.11551282e-03 -2.50777835e-04 
 5.27803164e+00 -2.11555183e-03 -2.68777027e-04 
 5.65685425e+00 -2.11559663e-03 -2.88068084e-04 
 6.06286627e+00 -2.11564810e-03 -3.08743727e-04 
 6.49801917e+00 -2.11570722e-03 -3.30903332e-04 
 6.96440451e+00 -2.11577513e-03 -3.54653408e-04 
 7.46426393e+00 -2.11585314e-03 -3.80108109e-04 
 8.00000000e+00 -2.11594275e-03 -4.07389781e-04 
 8.57418770e+00 -2.11604569e-03 -4.36629553e-04 
 9.18958684e+00 -2.11616393e-03 -4.67967963e-04 
 9.84915531e+00 -2.11629975e-03 -5.01555639e-04 
 1.05560633e+01 -2.11645577e-03 -5.37554018e-04 
 1.13137085e+01 -2.11663499e-03 -5.76136123e-04 
 1.21257325e+01 -2.11684086e-03 -6.17487398e-04 
 1.29960383e+01 -2.11707734e-03 -6.61806595e-04 
 1.39288090e+01 -2.11734899e-03 -7.09306732e-04 
 1.49285279e+01 -2.11766103e-03 -7.60216114e-04 
 1.60000000e+01 -2.11801947e-03 -8.14779435e-04 
 1.71483754e+01 -2.11843121e-03 -8.73258949e-04 
 1.83791737e+01 -2.11890418e-03 -9.35935734e-04 
 1.96983106e+01 -2.11944747e-03 -1.00311104e-03 
 2.11121266e+01 -2.12007155e-03 -1.07510774e-03 
 2.26274170e+01 -2.12078843e-03 -1.15227189e-03 
 2.42514651e+01 -2.12161191e-03 -1.23497435e-03 
 2.59920767e+01 -2.12255784e-03 -1.32361264e-03 
 2.78576180e+01 -2.12364443e-03 -1.41861279e-03 
 2.98570557e+01 -2.12489259e-03 -1.52043140e-03 
 3.20000000e+01 -2.12632635e-03 -1.62955785e-03 
 3.42967508e+01 -2.12797330e-03 -1.74651664e-03 
 3.67583474e+01 -2.12986516e-03 -1.87186993e-03 
 3.93966212e+01 -2.13203833e-03 -2.00622018e-03 
 4.22242531e+01 -2.13453464e-03 -2.15021315e-03 
 4.52548340e+01 -2.13740215e-03 -2.30454089e-03 
 4.85029301e+01 -2.14069606e-03 -2.46994516e-03 
 5.19841534e+01 -2.14447975e-03 -2.64722093e-03 
 5.57152361e+01 -2.14882608e-03 -2.83722021e-03 
 5.97141115e+01 -2.15381869e-03 -3.04085619e-03 
 6.40000000e+01 -2.15955368e-03 -3.25910756e-03 
 6.85935016e+01 -2.16614145e-03 -3.49302326e-03 
 7.35166947e+01 -2.17370880e-03 -3.74372751e-03 
 7.87932425e+01 -2.18240138e-03 -4.01242517e-03 
 8.44485063e+01 -2.19238652e-03 -4.30040759e-03 
 9.05096680e+01 -2.20385640e-03 -4.60905875e-03 
 9.70058603e+01 -2.21703180e-03 -4.93986197e-03 
 1.03968307e+02 -2.23216630e-03 -5.29440694e-03 
 1.11430472e+02 -2.24955122e-03 -5.67439744e-03 
 1.19428223e+02 -2.26952116e-03 -6.08165945e-03 
 1.28000000e+02 -2.29246048e-03 -6.51814997e-03 
 1.37187003e+02 -2.31881070e-03 -6.98596631e-03 
 1.47033389e+02 -2.34907895e-03 -7.48735626e-03 
 1.57586485e+02 -2.38384778e-03 -8.02472876e-03 
 1.68897013e+02 -2.42378633e-03 -8.60066550e-03 
 1.81019336e+02 -2.46966323e-03 -9.21793324e-03 
 1.94011721e+02 -2.52236134e-03 -9.87949707e-03 
 2.07936613e+02 -2.58289480e-03 -1.05885346e-02 
 2.22860944e+02 -2.65242843e-03 -1.13484510e-02 
 2.38856446e+02 -2.73230023e-03 -1.21628956e-02 
 2.56000000e+02 -2.82404703e-03 -1.30357788e-02 
 2.74374006e+02 -2.92943403e-03 -1.39712910e-02 
 2.94066779e+02 -3.05048874e-03 -1.49739226e-02 
 3.15172970e+02 -3.18953994e-03 -1.60484851e-02 
 3.37794025e+02 -3.34926232e-03 -1.72001338e-02 
 3.62038672e+02 -3.53272791e-03 -1.84343926e-02 
 3.88023441e+02 -3.74346497e-03 -1.97571796e-02 
 4.15873227e+02 -3.98552567e-03 -2.11748353e-02 
 4.45721888e+02 -4.26356375e-03 -2.26941520e-02 
 4.77712892e+02 -4.58292367e-03 -2.43224057e-02 
 5.12000000e+02 -4.94974292e-03 -2.60673898e-02 
 5.48748013e+02 -5.37106936e-03 -2.79374513e-02 
 5.88133558e+02 -5.85499592e-03 -2.99415291e-02 
 6.30345940e+02 -6.41081505e-03 -3.20891948e-02 
 6.75588050e+02 -7.04919581e-03 -3.43906961e-02 
 7.24077344e+02 -7.78238697e-03 -3.68570027e-02 
 7.76046882e+02 -8.62444976e-03 -3.94998555e-02 
 8.31746454e+02 -9.59152451e-03 -4.23318174e-02 
 8.91443777e+02 -1.07021360e-02 -4.53663283e-02 
 9.55425783e+02 -1.19775434e-02 -4.86177620e-02 
 1.02400000e+03 -1.34421397e-02 -5.21014863e-02 
 1.09749603e+03 -1.51239098e-02 -5.58339257e-02 
 1.17626712e+03 -1.70549533e-02 -5.98326266e-02 
 1.26069188e+03 -1.92720809e-02 -6.41163248e-02 
 1.35117610e+03 -2.18174959e-02 -6.87050150e-02 
 1.44815469e+03 -2.47395705e-02 -7.36200217e-02 
 1.55209376e+03 -2.80937287e-02 -7.88840705e-02 
 1.66349291e+03 -3.19434513e-02 -8.45213594e-02 
 1.78288755e+03 -3.63614149e-02 -9.05576289e-02 
 1.91085157e+03 -4.14307835e-02 -9.70202286e-02 
 2.04800000e+03 -4.72466674e-02 -1.03938180e-01 
 2.19499205e+03 -5.39177682e-02 -1.11342229e-01 
 2.35253423e+03 -6.15682287e-02 -1.19264896e-01 
 2.52138376e+03 -7.03397041e-02 -1.27740501e-01 
 2.70235220e+03 -8.03936737e-02 -1.36805179e-01 
 2.89630938e+03 -9.19140077e-02 -1.46496872e-01 
 3.10418753e+03 -1.05109801e-01 -1.56855284e-01 
 3.32698582e+03 -1.20218482e-01 -1.67921806e-01 
 3.56577511e+03 -1.37509195e-01 -1.79739397e-01 
 3.82170313e+03 -1.57286442e-01 -1.92352397e-01 
 4.09600000e+03 -1.79893965e-01 -2.05806288e-01 
 4.38998410e+03 -2.05718814e-01 -2.20147366e-01 
 4.70506846e+03 -2.35195534e-01 -2.35422322e-01 
 5.04276752e+03 -2.68810377e-01 -2.51677718e-01 
 5.40470440e+03 -3.07105382e-01 -2.68959336e-01 
 5.79261875e+03 -3.50682161e-01 -2.87311397e-01 
 6.20837506e+03 -4.00205137e-01 -3.06775629e-01 
 6.65397163e+03 -4.56403968e-01 -3.27390182e-01 
 7.13155021e+03 -5.20074787e-01 -3.49188388e-01 
 7.64340627e+03 -5.92079891e-01 -3.72197370e-01 
 8.19200000e+03 -6.73345421e-01 -3.96436518e-01 
 8.77996821e+03 -7.64856593e-01 -4.21915870e-01 
 9.41013692e+03 -8.67650033e-01 -4.48634439e-01 
