 yes             const.Ec_actual const.f_mez     const.lastFreq 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+02 
 1.00000000e+00  4.00000000e-01  6.36619905e+02  6.43693556e+02 
 1.00000000e+00  8.00000000e-01  1.27323981e+03  1.27195091e+03 
 1.00000000e+00  1.20000000e+00  1.90985971e+03  1.90021667e+03 
 1.00000000e+00  1.60000000e+00  2.54647962e+03  2.52333273e+03 
 1.00000000e+00  2.00000000e+00  3.18309952e+03  3.15416273e+03 
 1.00000000e+00  2.40000000e+00  3.81971943e+03  3.78499273e+03 
 1.00000000e+00  2.80000000e+00  4.45633933e+03  4.41582545e+03 
 1.00000000e+00  3.20000000e+00  5.09295924e+03  5.04666273e+03 
 1.00000000e+00  3.60000000e+00  5.72957914e+03  5.67749545e+03 
 1.00000000e+00  4.00000000e+00  6.36619905e+03  6.30832545e+03 
 1.00000000e+00  4.40000000e+00  7.00281895e+03  6.93915545e+03 
 1.00000000e+00  4.80000000e+00  7.63943886e+03  7.56998818e+03 
 1.00000000e+00  5.20000000e+00  8.27605876e+03  8.23425677e+03 
 1.00000000e+00  5.60000000e+00  8.91267867e+03  8.86766899e+03 
 1.00000000e+00  6.00000000e+00  9.54929857e+03  9.50104909e+03 
 1.00000000e+00  6.40000000e+00  1.01859185e+04  1.01344661e+04 
 1.00000000e+00  6.80000000e+00  1.08225384e+04  1.07678857e+04 
 1.00000000e+00  7.20000000e+00  1.14591583e+04  1.14013026e+04 
 1.00000000e+00  7.60000000e+00  1.20957782e+04  1.20347196e+04 
 1.00000000e+00  8.00000000e+00  1.27323981e+04  1.27195091e+04 
 1.00000000e+00  8.40000000e+00  1.33690180e+04  1.33554985e+04 
 1.00000000e+00  8.80000000e+00  1.40056379e+04  1.39914904e+04 
 1.00000000e+00  9.20000000e+00  1.46422578e+04  1.46274848e+04 
 1.00000000e+00  9.60000000e+00  1.52788777e+04  1.52634667e+04 
 1.00000000e+00  1.00000000e+01  1.59154976e+04  1.58993737e+04 
 1.00000000e+00  1.04000000e+01  1.65521175e+04  1.65353808e+04 
 1.00000000e+00  1.08000000e+01  1.71887374e+04  1.72408121e+04 
 1.00000000e+00  1.12000000e+01  1.78253573e+04  1.78793909e+04 
 1.00000000e+00  1.16000000e+01  1.84619772e+04  1.85179455e+04 
 1.00000000e+00  1.20000000e+01  1.90985971e+04  1.91565000e+04 
 1.00000000e+00  1.24000000e+01  1.97352170e+04  1.97950030e+04 
 1.00000000e+00  1.28000000e+01  2.03718370e+04  1.98573869e+04 
 1.00000000e+00  1.32000000e+01  2.10084569e+04  1.99686354e+04 
 1.00000000e+00  1.36000000e+01  2.16450768e+04  1.99616000e+04 
 1.00000000e+00  1.40000000e+01  2.22816967e+04  1.99185091e+04 
 1.00000000e+00  1.44000000e+01  2.29183166e+04  1.99319576e+04 
 1.00000000e+00  1.48000000e+01  2.35549365e+04  2.00098162e+04 
